Sample,Group
SRR2969798,South Asia
SRR2125338,Qatari
SRR2130527,Qatari
SRR2141774,Qatari
SRR2969922,Africa
SRR2969669,Qatari
SRR2969840,Middle East
SRR2125345,Qatari
SRR2130888,Qatari
SRR2969924,Middle East
SRR2130420,Qatari
SRR2125423,Qatari
SRR2130364,Qatari
SRR2130851,Qatari
SRR2130690,Qatari
SRR2969927,Middle East
SRR2969763,Middle East
SRR2130456,Qatari
SRR2141729,Qatari
SRR2130468,Qatari
SRR2125360,Qatari
SRR2130575,Qatari
SRR2130784,Qatari
SRR2130960,Qatari
SRR2969825,Middle East
SRR2141773,Qatari
SRR2130715,Qatari
SRR2130947,Qatari
SRR2125399,Qatari
SRR2130558,Qatari
SRR2141730,Qatari
SRR2969962,Middle East
SRR2969901,Middle East
