Sample,Group
SRR2969718,Middle East
SRR2969896,Qatari
SRR2130686,Qatari
SRR2130757,Qatari
SRR2130377,Qatari
SRR2130748,Qatari
SRR2130957,Qatari
SRR2130952,Qatari
SRR2969760,Middle East
SRR2969616,Qatari
SRR2141778,Qatari
SRR2130391,Qatari
SRR2969705,Qatari
SRR2130798,Qatari
SRR2141762,Qatari
SRR2130813,Qatari
SRR2130846,Qatari
SRR2130557,Qatari
SRR2125430,Qatari
SRR2130935,Qatari
SRR2969710,Qatari
SRR2969750,Middle East
SRR2969756,Qatari
SRR2125330,Qatari
SRR2130367,Qatari
SRR2969870,Middle East
SRR2969875,South Asia
SRR2130671,Qatari
SRR2130815,Qatari
SRR2141736,Qatari
SRR2969881,Middle East
SRR2969755,Middle East
SRR2130857,Qatari
SRR2130942,Qatari
SRR2125359,Qatari
SRR2969629,Qatari
SRR2130486,Qatari
SRR2130852,Qatari
SRR2969757,Africa
SRR2969780,Middle East
SRR2969627,Qatari
SRR2130625,Qatari
SRR2130437,Qatari
SRR2130449,Qatari
SRR2969728,Middle East
SRR2969660,Qatari
SRR2969912,Qatari
SRR2130900,Qatari
SRR2130597,Qatari
SRR2130927,Qatari
SRR2130702,Qatari
SRR2130501,Qatari
SRR2130800,Qatari
SRR2969963,Middle East
SRR2141728,Qatari
SRR2130480,Qatari
SRR2125412,Qatari
SRR2125369,Qatari
SRR2130714,Qatari
SRR2130538,Qatari
SRR2130763,Qatari
SRR2125344,Qatari
SRR2130786,Qatari
SRR2130395,Qatari
SRR2125335,Qatari
SRR2969733,Middle East
SRR2969939,Africa
SRR2969652,Qatari
SRR2130679,Qatari
SRR2130443,Qatari
SRR2130978,Qatari
SRR2141727,Qatari
SRR2969623,Qatari
SRR2141732,Qatari
SRR2130897,Qatari
SRR2125422,Qatari
SRR2130604,Qatari
SRR2130871,Qatari
SRR2969865,Middle East
SRR2130613,Qatari
SRR2969931,Qatari
SRR2969788,Qatari
SRR2969654,Qatari
SRR2130596,Qatari
SRR2969720,Middle East
SRR2130539,Qatari
SRR2969625,Qatari
SRR2141789,Qatari
SRR2130570,Qatari
SRR2130898,Qatari
SRR2125284,Qatari
SRR2125372,Qatari
SRR2130970,Qatari
SRR2130620,Qatari
SRR2130394,Qatari
SRR2969751,Middle East
